date,ticker,shares,buy_price,buy_value
2015-08-31,TORNTPHARM,62,803.5,49817.0
2015-08-31,GRANULES,403,123.94999694824219,49951.8487701416
2015-08-31,DIVISLAB,42,1182.050048828125,49646.10205078125
2015-08-31,GLENMARK,43,1154.800048828125,49656.402099609375
2015-08-31,LAOPALA,176,283.375,49874.0
2015-08-31,INTELLECT,315,158.3123321533203,49868.3846282959
2015-08-31,OFSS,12,4145.64990234375,49747.798828125
2015-08-31,HIMATSEIDE,271,184.35000610351562,49958.851654052734
2015-08-31,WELSPUNLIV,647,77.18499755859375,49938.693420410156
2015-08-31,CHENNPETRO,216,230.89999389648438,49874.398681640625
2015-08-31,CEATLTD,45,1097.5,49387.5
2015-08-31,JUBLPHARMA,186,268.0191650390625,49851.564697265625
2015-08-31,BRITANNIA,34,1464.9749755859375,49809.149169921875
2015-08-31,TATAELXSI,54,919.2249755859375,49638.148681640625
2015-08-31,DCAL,450,111.0,49950.0
2015-08-31,NILKAMAL,48,1020.5,48984.0
2015-08-31,RAJESHEXPO,98,506.5,49637.0
2015-08-31,ASHOKLEY,1107,45.150001525878906,49981.05168914795
2015-08-31,DRREDDY,58,860.530029296875,49910.74169921875
2015-08-31,GHCL,433,115.44999694824219,49989.84867858887
2015-09-30,MARUTI,11,4685.60009765625,51541.60107421875
2015-09-30,AUROPHARMA,68,769.2000122070312,52305.600830078125
2015-09-30,CUMMINSIND,48,1095.4000244140625,52579.201171875
2015-09-30,ZEEL,134,392.45001220703125,52588.30163574219
2015-09-30,ZYDUSLIFE,125,418.3399963378906,52292.49954223633
2015-09-30,MARKSANS,506,103.8499984741211,52548.09922790527
2015-09-30,SAMMAANCAP,74,707.8048706054688,52377.56042480469
2015-10-30,ESCORTS,280,176.1999969482422,49335.99914550781
2015-10-30,COFORGE,437,113.1500015258789,49446.55066680908
2015-10-30,NIITLTD,527,93.75,49406.25
2015-10-30,RUSHIL,2178,22.713306427001953,49469.581398010254
2015-10-30,INTELLECT,211,233.4404296875,49255.9306640625
2015-11-30,MARUTI,10,4555.0,45550.0
2015-11-30,LICHSGFIN,100,484.6499938964844,48464.99938964844
2015-11-30,ARVIND,405,120.01893615722656,48607.66914367676
2015-11-30,GODFRYPHLP,103,471.8999938964844,48605.69937133789
2015-11-30,ZEEL,119,408.1499938964844,48569.84927368164
2015-11-30,RCOM,642,75.80000305175781,48663.601959228516
2015-11-30,BEL,1281,37.995452880859375,48672.17514038086
2015-11-30,STAR,37,1288.6044921875,47678.3662109375
2015-11-30,PETRONET,415,117.125,48606.875
2015-11-30,IDBI,520,93.55000305175781,48646.00158691406
2015-11-30,INDUSINDBK,52,935.25,48633.0
2015-12-31,VAKRANGEE,606,81.29891967773438,49267.14532470703
2015-12-31,MOREPENLAB,1309,37.650001525878906,49283.85199737549
2015-12-31,JAMNAAUTO,1765,27.920000076293945,49278.80013465881
2015-12-31,TITAGARH,301,163.5500030517578,49228.5509185791
2015-12-31,NIITLTD,497,99.05000305175781,49227.85151672363
2015-12-31,NILKAMAL,39,1253.699951171875,48894.298095703125
2015-12-31,BIOCON,570,86.3499984741211,49219.49913024902
2015-12-31,BAJFINANCE,820,60.0994987487793,49281.58897399902
2015-12-31,VEEDOL,35,1394.6700439453125,48813.45153808594
