Date,Symbol,Open,High,Low,Close,Volume
2025-11-13,20MICRONS,199.25,201.1,197.55,197.95,99414.0
2025-11-14,20MICRONS,197.9,199.06,191.6,193.63,95278.0
2025-11-13,21STCENMGM,44.16,45.0,44.16,44.16,6825.0
2025-11-14,21STCENMGM,43.27,43.27,43.27,43.27,2175.0
2025-11-13,360ONE,1089.0,1095.0,1075.8,1085.6,457966.0
2025-11-14,360ONE,1087.0,1089.8,1059.0,1065.4,601566.0
2025-11-13,3IINFOLTD,17.77,18.5,17.6,18.25,2501877.0
2025-11-14,3IINFOLTD,18.3,18.44,18.03,18.2,525329.0
2025-11-13,3MINDIA,36200.0,36435.0,35905.0,36075.0,7754.0
2025-11-14,3MINDIA,36175.0,36210.0,35565.0,35910.0,5710.0
2025-11-13,3PLAND,40.72,41.9,40.3,40.38,2593.0
2025-11-14,3PLAND,40.25,41.88,40.1,40.65,8732.0
2025-11-13,5PAISA,292.0,294.95,288.3,289.1,49705.0
2025-11-14,5PAISA,290.6,292.0,287.65,289.15,39395.0
2025-11-13,63MOONS,761.55,762.45,739.8,743.5,91470.0
2025-11-14,63MOONS,737.0,754.85,737.0,742.85,47265.0
2025-11-13,A2ZINFRA,18.5,18.5,17.26,17.41,395288.0
2025-11-14,A2ZINFRA,18.0,18.0,17.17,17.4,229472.0
2025-11-13,AADHARHFC,501.0,501.0,493.0,499.0,243234.0
2025-11-14,AADHARHFC,499.85,502.9,490.75,494.9,234381.0
2025-11-13,AAKASH,8.84,8.97,8.75,8.86,73801.0
2025-11-14,AAKASH,8.71,9.5,8.59,8.97,163879.0
2025-11-13,AARON,197.2,204.4,197.0,198.2,29205.0
2025-11-14,AARON,198.2,201.9,182.15,193.23,76266.0
2025-11-13,AARTECH,52.5,52.5,50.7,50.88,47072.0
2025-11-14,AARTECH,51.4,52.4,50.22,50.64,35575.0
2025-11-13,AARTIDRUGS,475.0,475.75,466.8,469.1,205433.0
2025-11-14,AARTIDRUGS,469.0,469.4,461.15,463.45,148104.0
2025-11-13,AARTIIND,397.15,401.8,392.0,393.3,515815.0
2025-11-14,AARTIIND,393.8,394.55,388.75,393.0,345678.0
2025-11-13,AARTIPHARM,755.0,772.7,741.35,746.6,265574.0
2025-11-14,AARTIPHARM,744.3,746.95,709.0,713.2,396512.0
2025-11-13,AARTISURF,469.15,477.0,463.1,466.0,4230.0
2025-11-14,AARTISURF,470.1,470.1,450.05,455.65,5962.0
2025-11-13,AARVI,121.29,121.29,118.02,120.03,3383.0
2025-11-14,AARVI,129.89,144.03,129.89,137.68,477591.0
2025-11-13,AAVAS,1704.0,1771.9,1694.1,1736.4,241861.0
2025-11-14,AAVAS,1736.9,1751.2,1695.3,1712.2,92850.0
2025-11-13,ABB,4933.0,4959.0,4896.0,4913.0,308690.0
2025-11-14,ABB,4913.0,4963.0,4899.0,4952.5,120184.0
2025-11-13,ABBOTINDIA,29595.0,29655.0,29285.0,29570.0,4429.0
2025-11-14,ABBOTINDIA,29600.0,29640.0,28600.0,29340.0,9495.0
2025-11-13,ABCAPITAL,328.0,335.0,328.0,331.8,2993535.0
2025-11-14,ABCAPITAL,330.25,334.15,328.25,331.4,1639627.0
2025-11-13,ABDL,639.95,645.05,624.5,625.5,549918.0
2025-11-14,ABDL,624.85,654.8,620.5,649.9,503836.0
2025-11-13,ABFRL,80.84,80.85,79.13,79.58,3883210.0
2025-11-14,ABFRL,79.98,79.98,78.3,78.44,1874527.0
2025-11-13,ABINFRA,20.55,20.99,19.89,20.17,561536.0
2025-11-14,ABINFRA,20.78,20.99,19.9,19.99,517494.0
2025-11-13,ABLBL,129.75,136.0,128.51,134.42,2674725.0
2025-11-14,ABLBL,133.05,138.25,132.12,134.47,2153890.0
2025-11-13,ABREL,1776.4,1817.6,1737.0,1745.8,93294.0
2025-11-14,ABREL,1745.8,1763.0,1735.0,1744.6,56057.0
2025-11-13,ABSLAMC,742.7,757.45,737.3,751.2,222957.0
2025-11-14,ABSLAMC,750.0,751.0,731.15,733.95,175212.0
2025-11-13,ACC,1855.0,1861.0,1840.0,1844.8,188561.0
2025-11-14,ACC,1844.0,1851.6,1836.1,1840.3,108174.0
2025-11-13,ACCELYA,1341.8,1343.8,1330.0,1337.8,9722.0
2025-11-14,ACCELYA,1330.0,1347.3,1330.0,1344.0,6182.0
2025-11-13,ACCURACY,6.52,6.52,6.39,6.42,83631.0
2025-11-14,ACCURACY,6.34,6.57,6.33,6.41,66690.0
2025-11-13,ACE,1002.0,1007.9,986.0,988.0,122892.0
2025-11-14,ACE,988.0,988.0,959.3,983.5,153072.0
2025-11-13,ACEINTEG,23.8,23.99,23.12,23.38,4283.0
2025-11-14,ACEINTEG,23.7,25.6,23.4,24.16,31495.0
2025-11-13,ACI,631.1,639.45,626.0,631.4,60840.0
2025-11-14,ACI,631.1,633.25,622.1,627.55,57713.0
2025-11-13,ACMESOLAR,255.0,255.0,247.95,251.05,928331.0
2025-11-14,ACMESOLAR,249.1,251.65,249.1,250.6,544877.0
2025-11-13,ACUTAAS,1703.0,1721.9,1677.6,1682.1,149265.0
2025-11-14,ACUTAAS,1661.6,1716.0,1661.0,1711.1,141749.0
2025-11-13,ADANIENSOL,1003.2,1035.75,998.35,1021.4,2163072.0
2025-11-14,ADANIENSOL,1027.0,1050.0,1017.0,1023.85,2190871.0
2025-11-13,ADANIENT,2502.0,2525.0,2468.1,2488.2,2706326.0
2025-11-14,ADANIENT,2500.0,2553.7,2481.0,2516.8,4496233.0
2025-11-13,ADANIGREEN,1080.0,1088.0,1063.3,1076.8,1991752.0
2025-11-14,ADANIGREEN,1082.9,1104.9,1060.0,1068.8,3567619.0
2025-11-13,ADANIPORTS,1515.0,1515.0,1487.8,1499.0,2304918.0
2025-11-14,ADANIPORTS,1500.0,1523.6,1497.0,1512.7,2345593.0
2025-11-13,ADANIPOWER,151.98,154.2,151.5,151.85,20557325.0
2025-11-14,ADANIPOWER,152.46,155.99,152.2,153.91,26821173.0
2025-11-13,ADFFOODS,223.2,223.2,214.58,216.18,132091.0
2025-11-14,ADFFOODS,216.18,217.6,212.67,213.8,91657.0
2025-11-13,ADL,82.42,84.4,79.0,80.63,2588.0
2025-11-14,ADL,80.63,83.8,80.6,83.0,250.0
2025-11-13,ADOR,1018.7,1035.0,1014.9,1024.5,6104.0
2025-11-14,ADOR,1024.5,1089.0,1019.2,1074.4,25255.0
2025-11-13,ADROITINFO,11.01,11.41,11.01,11.2,16918.0
